id,アンケートID,案件名,回答者ID,完了フラグ,端末種類,性別,年齢,年代別,居住地,職業,できるだけ、地元でとれた野菜や果物を買いたいと思う。,地元の農家や生産者を応援できる商品に、特に魅力を感じる。,スーパーや店では、自分の住んでいる地域で生産された農産物かどうかを気にして選ぶことが多い。,地元の直売所や朝市での買い物には、価格以上の価値があると思う。,飲食店を選ぶとき、地元食材を使っているかどうかを重視したい。,少し高くても、環境に配慮して生産された農産物を選びたい。,できるだけ、プラスチック包装が少ない商品を選びたい。,食品ロス（食べ残しや賞味期限切れ）を減らすよう、普段から意識している。,将来の世代のために、環境負荷の少ない商品を選ぶべきだと思う。,児童労働のない生産体制で作られた商品を、できるだけ選びたい。,フェアトレードなど、生産者に適正な対価が支払われる仕組みの商品を選びたい。,働く人の人権や労働環境に配慮した企業の商品を優先的に買いたい。,農薬や化学肥料をできるだけ使っていない農産物を選びたい。,"生産者の顔やメッセージが表示されている農産物だと、より安心できる。",産地や生産方法の情報が明確な農産物を選びたい,同じような商品なら、環境や地域への配慮よりも、まず価格の安さで選びたい。,環境や労働倫理に配慮した商品であっても、普通の商品より高いと、あまり買う気にならない。,"環境や労働倫理に配慮した商品は、味や性能が劣るおそれがあるので、少し慎重になってしまう。",多少の不便があっても、環境や人、地域に配慮した選択をしたいと思う。,"環境や倫理に配慮した商品を選ぶことは、自分の生き方や価値観を表現することだと思う。",地元産や環境にやさしい商品を、家族や友人にも勧めたいと思う。,あなたの年齢について教えてください。,あなたの性別について教えてください
39190669,790233,FA_Toyo25,39190669,1,SP,男性,42,４０代,愛知県,会社勤務（管理職）,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,40代,男性
39190676,790233,FA_Toyo25,39190676,1,SP,男性,18,１５歳以上,青森県,学生,まったくそう思わない,まったくそう思わない,まったくそう思わない,どちらともいえない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思う,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,まったくそう思わない,まったくそう思わない,まったくそう思わない,10代または10代以下,男性
39190731,790233,FA_Toyo25,39190731,1,SP,女性,28,２０代,広島県,パート・アルバイト,そう思わない,どちらともいえない,そう思わない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思わない,どちらともいえない,20代,女性
39190748,790233,FA_Toyo25,39190748,1,SP,女性,29,２０代,神奈川県,専業主婦・主夫,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思わない,そう思わない,まったくそう思わない,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,とてもそう思う,そう思う,どちらともいえない,そう思う,そう思わない,どちらともいえない,そう思わない,そう思う,20代,女性
39190754,790233,FA_Toyo25,39190754,1,PC,男性,75,７０歳以上,北海道,パート・アルバイト,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,60代以上,男性
39190792,790233,FA_Toyo25,39190792,1,SP,男性,29,２０代,埼玉県,パート・アルバイト,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,とてもそう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,20代,男性
39190793,790233,FA_Toyo25,39190793,1,SP,男性,25,２０代,山口県,無職,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,どちらともいえない,そう思う,とてもそう思う,そう思う,とてもそう思う,まったくそう思わない,そう思う,そう思う,どちらともいえない,20代,男性
39190815,790233,FA_Toyo25,39190815,1,SP,女性,53,５０代,愛知県,会社勤務（一般社員）,とてもそう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,とてもそう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,50代,女性
39190873,790233,FA_Toyo25,39190873,1,SP,男性,26,２０代,北海道,無職,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,20代,男性
39190874,790233,FA_Toyo25,39190874,1,SP,女性,29,２０代,青森県,専業主婦・主夫,そう思わない,そう思わない,まったくそう思わない,そう思わない,まったくそう思わない,そう思わない,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思わない,そう思わない,そう思わない,とてもそう思う,とてもそう思う,そう思わない,そう思わない,そう思わない,そう思わない,20代,女性
39190902,790233,FA_Toyo25,39190902,1,SP,女性,27,２０代,滋賀県,専業主婦・主夫,とてもそう思う,とてもそう思う,そう思う,そう思わない,そう思わない,まったくそう思わない,そう思う,とてもそう思う,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,とてもそう思う,そう思う,そう思う,そう思う,とてもそう思う,どちらともいえない,そう思わない,そう思う,まったくそう思わない,20代,女性
39190912,790233,FA_Toyo25,39190912,1,SP,女性,19,１５歳以上,大阪府,学生,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,10代または10代以下,女性
39190941,790233,FA_Toyo25,39190941,1,PC,女性,67,６０代,神奈川県,専業主婦・主夫,とてもそう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,とてもそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,60代以上,女性
39190963,790233,FA_Toyo25,39190963,1,SP,女性,42,４０代,千葉県,派遣社員・契約社員,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,40代,女性
39190966,790233,FA_Toyo25,39190966,1,SP,男性,25,２０代,群馬県,自営業（商工サービス）,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思わない,どちらともいえない,そう思わない,どちらともいえない,50代,男性
39190974,790233,FA_Toyo25,39190974,1,SP,男性,24,２０代,北海道,会社勤務（一般社員）,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,20代,男性
39190978,790233,FA_Toyo25,39190978,1,SP,男性,15,１５歳以上,神奈川県,学生,とてもそう思う,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,とてもそう思う,そう思う,そう思わない,そう思う,とてもそう思う,そう思う,とてもそう思う,そう思う,どちらともいえない,どちらともいえない,とてもそう思う,どちらともいえない,とてもそう思う,そう思う,そう思う,10代または10代以下,男性
39190981,790233,FA_Toyo25,39190981,1,PC,女性,21,２０代,東京都,学生,どちらともいえない,そう思う,まったくそう思わない,そう思う,まったくそう思わない,そう思わない,そう思わない,とてもそう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,どちらともいえない,とてもそう思う,とてもそう思う,そう思わない,そう思わない,そう思わない,そう思わない,20代,女性
39190996,790233,FA_Toyo25,39190996,1,SP,男性,22,２０代,愛知県,学生,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,とてもそう思う,30代,男性
39191003,790233,FA_Toyo25,39191003,1,SP,男性,22,２０代,香川県,学生,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思う,そう思わない,どちらともいえない,そう思う,どちらともいえない,そう思わない,そう思う,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思わない,そう思う,そう思わない,20代,男性
39191005,790233,FA_Toyo25,39191005,1,SP,男性,15,１５歳以上,熊本県,学生,そう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,40代,男性
39191007,790233,FA_Toyo25,39191007,1,SP,男性,35,３０代,三重県,その他の職業,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,30代,男性
39191014,790233,FA_Toyo25,39191014,1,SP,女性,36,３０代,新潟県,派遣社員・契約社員,とてもそう思う,とてもそう思う,そう思う,どちらともいえない,そう思わない,どちらともいえない,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,そう思う,どちらともいえない,そう思わない,そう思う,どちらともいえない,30代,女性
39191019,790233,FA_Toyo25,39191019,1,SP,女性,23,２０代,愛知県,学生,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,20代,女性
39191021,790233,FA_Toyo25,39191021,1,SP,男性,25,２０代,愛知県,学生,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思わない,20代,男性
39191028,790233,FA_Toyo25,39191028,1,PC,男性,26,２０代,岐阜県,パート・アルバイト,そう思う,そう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,20代,男性
39191033,790233,FA_Toyo25,39191033,1,PC,女性,29,２０代,神奈川県,会社勤務（一般社員）,そう思う,そう思う,そう思わない,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思わない,20代,女性
39191039,790233,FA_Toyo25,39191039,1,SP,男性,28,２０代,石川県,会社勤務（一般社員）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,20代,男性
39191043,790233,FA_Toyo25,39191043,1,SP,女性,52,５０代,神奈川県,パート・アルバイト,そう思う,そう思う,そう思う,そう思う,そう思わない,どちらともいえない,そう思う,とてもそう思う,とてもそう思う,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,50代,女性
39191048,790233,FA_Toyo25,39191048,1,SP,男性,20,２０代,愛知県,学生,そう思う,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思わない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,20代,男性
39191067,790233,FA_Toyo25,39191067,1,SP,女性,19,１５歳以上,東京都,学生,そう思わない,そう思う,そう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,そう思わない,まったくそう思わない,60代以上,女性
39191073,790233,FA_Toyo25,39191073,1,SP,女性,27,２０代,東京都,会社勤務（一般社員）,そう思わない,そう思う,そう思わない,どちらともいえない,そう思わない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,20代,女性
39191085,790233,FA_Toyo25,39191085,1,SP,女性,16,１５歳以上,宮城県,学生,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思わない,どちらともいえない,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思わない,そう思う,10代または10代以下,女性
39191090,790233,FA_Toyo25,39191090,1,SP,女性,17,１５歳以上,山口県,学生,そう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,そう思う,とてもそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,とてもそう思う,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,10代または10代以下,女性
39191108,790233,FA_Toyo25,39191108,1,SP,男性,15,１５歳以上,神奈川県,学生,そう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,そう思う,そう思う,とてもそう思う,とてもそう思う,そう思う,そう思う,10代または10代以下,男性
39191111,790233,FA_Toyo25,39191111,1,SP,女性,18,１５歳以上,埼玉県,学生,そう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思わない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思わない,そう思う,どちらともいえない,どちらともいえない,10代または10代以下,女性
39191125,790233,FA_Toyo25,39191125,1,SP,男性,43,４０代,新潟県,自営業（商工サービス）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,40代,男性
39191130,790233,FA_Toyo25,39191130,1,SP,男性,39,３０代,新潟県,会社経営（経営者・役員）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,30代,男性
39191138,790233,FA_Toyo25,39191138,1,PC,男性,17,１５歳以上,愛知県,学生,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,まったくそう思わない,まったくそう思わない,そう思わない,まったくそう思わない,そう思わない,まったくそう思わない,どちらともいえない,そう思わない,まったくそう思わない,そう思わない,まったくそう思わない,そう思わない,どちらともいえない,まったくそう思わない,そう思わない,10代または10代以下,男性
39191163,790233,FA_Toyo25,39191163,1,SP,女性,65,６０代,新潟県,無職,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思わない,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,60代以上,女性
39191173,790233,FA_Toyo25,39191173,1,SP,男性,18,１５歳以上,東京都,学生,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,10代または10代以下,男性
39191174,790233,FA_Toyo25,39191174,1,SP,男性,18,１５歳以上,静岡県,学生,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,10代または10代以下,男性
39191196,790233,FA_Toyo25,39191196,1,SP,女性,30,３０代,滋賀県,無職,そう思わない,そう思わない,そう思わない,そう思わない,まったくそう思わない,そう思わない,そう思わない,そう思う,そう思わない,そう思わない,そう思わない,そう思わない,そう思わない,そう思う,そう思わない,そう思う,そう思う,そう思う,そう思わない,そう思わない,そう思わない,30代,女性
39191206,790233,FA_Toyo25,39191206,1,SP,女性,26,２０代,山形県,学生,そう思う,とてもそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,とてもそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,どちらともいえない,そう思う,そう思う,どちらともいえない,20代,女性
39191228,790233,FA_Toyo25,39191228,1,PC,男性,60,６０代,東京都,会社勤務（一般社員）,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,そう思わない,どちらともいえない,そう思う,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,そう思う,そう思う,そう思う,どちらともいえない,そう思わない,そう思わない,そう思わない,60代以上,男性
39191229,790233,FA_Toyo25,39191229,1,SP,女性,29,２０代,北海道,パート・アルバイト,どちらともいえない,どちらともいえない,そう思わない,そう思う,そう思わない,どちらともいえない,そう思わない,そう思う,そう思わない,そう思わない,まったくそう思わない,まったくそう思わない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,とてもそう思う,そう思わない,そう思わない,どちらともいえない,そう思わない,20代,女性
